name,wikidata_qid,founded_year,status,age_group
Higher Institute of Advanced Studies,Q12193483,NA,done,NA
Higher Institute of Applied Arts,Q30294321,NA,done,NA
Higher Institute of Computer Science and Management Technology,Q30294408,NA,done,NA
Higher Institute of Engineering,Q17004556,1994,done,1990_2009
Higher Institute of Engineering Technologies Tripoli,Q139408006,1992,done,1990_2009
"Higher Institute of Engineering and Technology, Kafrelsheikh",Q135738808,2006,done,1990_2009
Higher Institute of Food Industries of Tunis,Q30261826,1976,done,1960_1989
Higher Institute of Islamic Studies,Q30294424,NA,done,NA
Higher Institute of Medical Sciences and Technologies,Q136225104,1982,done,1960_1989
"Higher Institute of Mining, Industry and Geology",Q3577935,1982,done,1960_1989
Higher Institute of Science and Technology Tajoura,Q136448415,2021,done,post_2010
"Higher Institute of Science and Technology, Qaser Bin Ghashir, Libya",Q139771612,1996,done,1990_2009
Higher Institute of Social Service,Q30294299,1936,done,pre_1960
Higher Knowledge Institute of Languages ​​and Translation,Q30294275,NA,done,NA
"Higher National School of Renewable Energies, Environment & Sustainable Development",Q135095705,2020,done,post_2010
Higher National Veterinary School,Q3578271,1970,done,1960_1989
Higher School of Management of Tlemcen,NA,NA,done,NA
Higher School of Saharan Agriculture - El Oued,NA,NA,done,NA
Higher Technological Institute,Q14590694,1988,done,1960_1989
"Higher Technological Institute, 6th of October City",Q134523996,1996,done,1990_2009
Hillside Teachers' College,Q137943740,NA,done,NA
Ho Technical University,Q1325425,1968,done,1960_1989
Hope Africa University,Q2687972,2000,done,1990_2009
Hope University,Q5899559,2008,done,1990_2009
Hormuud University,Q100955860,2010,done,post_2010
Horseed International University,Q28221476,NA,done,NA
Hubert Kairuki Memorial University,Q5927408,1997,done,1990_2009
Hussaini Adamu Federal Polytechnic,Q17093214,1991,done,1990_2009
Hypatia of Alexandria Institute for Reflexion and Studies,Q61931494,NA,done,NA
IGAD Sheikh Technical Veterinary School and Reference Centre,Q30266915,NA,done,NA
IIE MSA,Q176667,2001,done,1990_2009
IMM Graduate School of Marketing,Q5972037,1960,done,1960_1989
INES-Ruhengeri,Q105095653,2003,done,1990_2009
ISBAT University,Q63831113,2005,done,1990_2009
Ibrahim Badamasi Babangida University,Q17929219,2005,done,1990_2009
Igbinedion University,Q5991557,1999,done,1990_2009
Imo State Polytechnic Omuma,NA,NA,done,NA
Imo State University,Q6005644,1981,done,1960_1989
"Indian Institute of Technology Madras, Zanzibar",Q135739042,2023,done,post_2010
Infonet College,Q6030507,2002,done,1990_2009
Information and Communications University,Q491101,1998,done,1990_2009
Injibara University,Q130537753,NA,done,NA
Inoorero University,Q16979416,1983,done,1960_1989
Institut Africain d'Informatique,Q3151823,1971,done,1960_1989
Institut Agronomique et Vétérinaire Hassan II,Q3151828,1966,done,1960_1989
Institut Facultaire des Sciences de l'Information et de la Communication,NA,NA,done,NA
Institut Facultaire des sciences Agronomiques de Yangambi,NA,NA,done,NA
Institut International des Assurances,Q30294345,1972,done,1960_1989
Institut International des Sciences et de Technologie,Q30294367,NA,done,NA
Institut Marocain de Management,Q30294383,NA,done,NA
Institut National Agronomique de Tunisie,Q771642,1970,done,1960_1989
Institut National Polytechnique Félix Houphouët-Boigny,Q3152449,1996,done,1990_2009
Institut National Supérieur des Sciences et Techniques d'Abéché,NA,NA,done,NA
Institut National de Statistique et d'Economie Appliquée,Q2737222,1961,done,1960_1989
Institut National de la Jeunesse et des Sports,Q20127556,1960,done,1960_1989
Institut National de la Poste et des Technologies de l'Information et de la Communication,Q30294205,NA,done,NA
Institut National de la Recherche Agronomique de Tunisie,Q30254553,1898,done,pre_1960
Institut National de sante publique,Q100523645,1999,done,1990_2009
Institut National des Postes et Télécommunications,Q3152433,1961,done,1960_1989
Institut National des Sciences Comptables et de l’Administration d’Entreprises,Q18779685,1981,done,1960_1989
Institut National des Sciences de l'Archéologie et du Patrimoine,Q25381383,1986,done,1960_1989
Institut National du Bâtiment et des Travaux Publics,Q30294462,NA,done,NA
Institut National d’Hygiène Publique,Q30256987,NA,done,NA
Institut Panafricain pour le Développement Afrique Centrale,Q30294337,NA,done,NA
Institut Pasteur de Bangui,Q30281752,1961,done,1960_1989
Institut Polytechnique Africain,Q100452192,2016,done,post_2010
Institut Polytechnique Rural de Formation et de Recherche Appliquée,Q16643761,1897,done,pre_1960
Institut Privé de Gestion Institut Supérieur de Technologie Industrielle,NA,NA,done,NA
Institut PrépaVogt,Q50315165,NA,done,NA
Institut Préparatoire aux Études d'Ingénieurs de Monastir,Q30263821,1992,done,1990_2009
Institut Royal de Formation des Cadres de la Jeunesse et des Sports,Q30294173,NA,done,NA
Institut Sous-Régional de Statistique et d'Economie Appliquée,Q30294352,NA,done,NA
Institut Superieur Sapientiae de Bafoussam,Q135739127,2010,done,post_2010
Institut Supérieur de Formation à Distance,Q30294430,NA,done,NA
Institut Supérieur Agronomique et Vétérinaire Valéry Giscard d'Estaing,Q30294209,1990,done,1990_2009
Institut Supérieur International du Tourisme de Tanger,Q131617379,1972,done,1960_1989
Institut Supérieur Privé Polytechnique,Q61931859,1988,done,1960_1989
Institut Supérieur Pédagogique Technique,NA,NA,done,NA
Institut Supérieur Pédagogique de Bukavu,Q3152630,1961,done,1960_1989
Institut Supérieur Pédagogique de Gitwe,Q30294325,NA,done,NA
Institut Supérieur d'Etudes Sociales,Q30294381,NA,done,NA
Institut Supérieur d'Informatique et des Technologies de Communication de Hammam Sousse,Q134524014,NA,done,NA
