name,founded_date.x,ror_name,match_score,founded_date.y
Institut Supérieur de l'Information et de la Communication,1996,,0.579,1996
Institut Supérieur de l'Informatique et de Gestion,1992,,0.569,1992
"Institut Supérieur de la Communication, des Affaires et du Management",1990,,0.627,1990
Institut Supérieur des Etudes Technologiques de Tozeur,2005,,0.555,2005
Institut Supérieur des Etudes Technologiques de Zaghouan,2002,,0.558,2002
Institut Supérieur des Métiers du Patrimoine de Tunis,2000,,0.541,2000
Institut Supérieur des Professions Infirmières et Techniques de Santé de Casablanca,2013,,0.561,2013
Institut Supérieur des Sciences de l'Éducation de Guinée,1979,,0.572,1979
Institut Supérieur des Sciences et de Médecine Vétérinaire,2004,,0.573,2004
Institut Supérieur des Techniques Médicales de Bukavu,1981,,0.523,1981
Institut Supérieur des Technologies de l'Information et de la Communication,2011,,0.582,2011
Institut Supérieur des Études Technologiques de Gafsa,1992,,0.544,1992
Institut Supérieur des Études Technologiques de Nabeul,1995,,0.584,1995
Institut Supérieur des Études Technologiques en Communications de Tunis,1998,,0.615,1998
Institut Supérieur du Génie Appliqué,1981,,0.509,1981
Institut Supérieur du Sport et de l’Éducation Physique de Sfax,1969,,0.543,1969
Institut Supérieur d’Art Dramatique et d’Animation Culturelle,1985,,0.605,1985
Institut Supérieur d’Electronique et des Réseaux & Télécommunications,1996,,0.585,1996
"Institut Supérieur d’Informatique, Programmation et Analyse",1975,,0.592,1975
Institut Universitaire LES COURS SONOU,2007,,0.567,2007
Institut Universitaire Polytechnique de Mongo,2002,,0.553,2002
Institut Universitaire Siantou,NA,,0.518,NA
Institut Universitaire d'Abidjan,2004,,0.48,2004
Institut Universitaire de la Côte,2002,,0.498,2002
Institut Universitaire du Bénin,NA,,0.551,NA
Institut Universitaire du Congo,1989,,0.545,1989
Institut Universitaire du Golfe de Guinée,1993,,0.574,1993
Institut de Statistiques et d’Études Économiques du Burundi,1990,,0.563,1990
Institut des Hautes Études Bancaires et Financières,1995,,0.551,1995
"Institut des Hautes Études Bancaires, Financières et Managériale",1995,,0.612,1995
Institut des Hautes Études de Management,1988,,0.517,1988
Institut des Hautes Études de Tunis,1998,,0.532,1998
Institut supérieur de documentation,1981,,0.526,1981
Institut supérieur de la Magistrature,1962,,0.568,1962
Institute For Leadership And Communication Studies,1996,,0.59,1996
Institute and Observatory of Geophysics of Antananarivo,1887,,0.585,1887
Institute for Educational Planning and Administration,1975,,0.589,1975
"Institute for Meteorological Training and Research, WMO Regional Training Centre",NA,,0.564,NA
"Institute for Poverty, Land and Agrarian Studies",1995,,0.595,1995
Institute for Security Studies,1991,,0.504,1991
Institute of Accountancy Arusha,1990,,0.533,1990
Institute of Aviation Engineering & Technology,1936,,0.596,1936
Institute of Development Management,2001,,0.539,2001
Institute of Finance Management,1972,,0.533,1972
Institute of Legal Practice and Development,2004,,0.587,2004
Institute of Petroleum Studies Kampala,2013,,0.546,2013
Institute of Rural Development Planning,1980,,0.58,1980
Institute of Tax Administration,1982,,0.495,1982
Instituto Nacional de Estatística,1935,,0.547,1935
Instituto Superior Cristão,1994,,0.508,1994
Instituto Superior Monitor,2008,,0.5,2008
Instituto Superior Politecnico de Tete,2005,,0.546,2005
Instituto Superior Politécnico Metropolitano de Angola,NA,,0.613,NA
Instituto Superior Politécnico de Gaza,2006,,0.536,2006
Instituto Superior Politécnico de Manica,2005,,0.551,2005
Instituto Superior Politécnico de Songo,2015,,0.544,2015
Instituto Superior Politécnico de Tecnologia e Ciências,2005,,0.597,2005
Instituto Superior de Administração e Finanças,2017,,0.553,2017
Instituto Superior de Artes e Cultura,2008,,0.564,2008
Instituto Superior de Ciencias Sociais e Relações Internacionais,2007,,0.619,2007
Instituto Superior de Ciencias de Saude,2004,,0.563,2004
Instituto Superior de Ciências Económicas e Empresariais,1991,,0.6,1991
Instituto Superior de Ciências da Educação de Benguela,1994,,0.567,1994
Instituto Superior de Ciências e Tecnologia Alberto Chipande,2008,,0.612,2008
Instituto Superior de Ciências e Tecnologia de Moçambique,1996,,0.596,1996
Instituto Superior de Comunicação e Imagem de Moçambique,2003,,0.581,2003
Instituto Superior de Transportes e Comunicaçõe,2000,,0.567,2000
Instituts Supérieurs des Professions Infirmières et Techniques de Santé,NA,,0.575,NA
Inter-University Council for East Africa,1980,,0.566,1980
International Academy Mohammed VI of Civil Aviation,2000,,0.572,2000
International Academy for Engineering and Media Science,2002,,0.589,2002
International Centre for Genetic Engineering and Biotechnology,1983,,0.631,1983
International Crops Research Institute for the Semi-Arid Tropics,NA,,0.642,NA
International Institute for Higher Education in Morocco,1988,,0.585,1988
International Institute for Water and Environmental Engineering,2006,,0.577,2006
International Islamic Center for Population Studies and Research,1975,,0.615,1975
International Medical and Technological University,1997,,0.611,1997
International School of Dakar,1983,,0.519,1983
International University & Polytechnic of Benin,NA,,0.592,NA
International University Bamenda,1990,,0.565,1990
International University of Africa,1977,,0.552,1977
International University of East Africa,2010,,0.581,2010
International University of Grand Bassam,2007,,0.594,2007
International University of Management,1994,,0.595,1994
International University of Rabat,2010,,0.575,2010
Isa Kaita College of Education,1999,,0.56,1999
Islamic University College,2000,,0.551,2000
Islamic University in Uganda,1988,,0.522,1988
Islamic University of Niger,1974,,0.537,1974
James Hope University,2021,,0.498,2021
Jamhuriya University of Science and Technology,2011,,0.547,2011
Jaramogi Oginga Odinga University of Science and Technology,2009,,0.566,2009
Jazeera University,2010,,0.471,2010
Jean Piaget University of Angola,2000,,0.535,2000
Jean Piaget University of Cape Verde,2001,,0.563,2001
Jigawa State College of Education Gumel,1976,,0.53,1976
Jigawa State College of Nursing Sciences,NA,,0.535,NA
"Jigawa State Polytechnic, Dutse",2007,,0.532,2007
Jigjiga University,2007,,0.445,2007
Jimma University,1999,,0.494,1999
John Garang Memorial University of Science and Technology,2006,,0.602,2006
Jomo Kenyatta University of Agriculture and Technology,1994,,0.576,1994
Jordan University College,2010,,0.535,2010
Joseph Ayo Babalola University,2006,,0.536,2006
Joseph Sarwuan Tarka University Makurdi,1988,,0.509,1988
Joshua Mqabuko Nkomo Polytechnic,1981,,0.475,1981
Julius Nyerere University of Kankan,1964,,0.524,1964
KCA University,1989,,0.451,1989
KCMC University,NA,,0.473,NA
Kabale University,2001,,0.472,2001
Kabarak University,2002,,0.468,2002
Kaduna Polytechnic,1956,,0.503,1956
Kaduna State University,2004,,0.511,2004
Kafrelsheikh University,2006,,0.466,2006
Kaimosi Friends University,2014,,0.519,2014
Kampala International University,2009,,0.591,2009
Kampala University,1999,,0.499,1999
Kano State University of Technology,2000,,0.526,2000
Karary University,1996,,0.503,1996
Karatina University,2007,,0.522,2007
Karl Kumm University,NA,,0.441,NA
Karume Institute of Science and Technology,2006,,0.544,2006
Kassala University,1990,,0.51,1990
Katanga Methodist University,NA,,0.525,NA
Katsina State Institute of Technology and Management,2013,,0.571,2013
Kebbi State Polytechnic,2013,,0.493,2013
Kebbi State University of Science and Technology,2006,,0.568,2006
"Kenule Beeson Saro-Wiwa Polytechnic, Bori",1989,,0.527,1989
Kenya Highlands University,1970,,0.531,1970
Kenya Institute of Curriculum Development,2013,,0.557,2013
Kenya Institute of Special Education,1986,,0.567,1986
Kenya Institute of Surveying and Mapping,1994,,0.57,1994
Kenya Medical Training College,1990,,0.58,1990
Kenya Methodist University,1997,,0.537,1997
Kenya School of TVET,1972,,0.538,1972
Kenyatta University,1985,,0.502,1985
Khartoum International Institute for Arabic Languague,1974,,0.559,1974
Kibabii University,2010,,0.479,2010
Kigali Independent University,1996,,0.542,1996
King Ceasor University,2011,,0.533,2011
King Faisal University of N'Djamena,1992,,0.535,1992
Kings University,2015,,0.503,2015
Kingsley Ozumba Mbadiwe University,2021,,0.551,2021
Kirinyaga University,1977,,0.5,1977
Kiriri Women's University of Science and Technology,2002,,0.558,2002
Kisii University,1965,,0.488,1965
Kismayo University,2005,,0.51,2005
Klintaps University College of Health and Allied Sciences,2017,,0.599,2017
Kofi Annan International Peacekeeping Training Centre,1998,,0.589,1998
Koforidua Technical University,1997,,0.521,1997
Kogi State University,1999,,0.51,1999
"Kogi State University, Kabba",2023,,0.532,2023
Koitaleel Samoei University College,2018,,0.571,2018
Kongo University,1990,,0.492,1990
Kotebe University of Education,1959,,0.53,1959
Kumasi Technical University,1954,,0.526,1954
Kumi University,2004,,0.474,2004
Kwame Nkrumah University,1967,,0.469,1967
Kwame Nkrumah University of Science and Technology,1952,,0.556,1952
Kwara State Polytechnic,1973,,0.519,1973
Kwara State University,2009,,0.498,2009
Kwararafa University,2005,,0.444,2005
Kyambogo University,2003,,0.495,2003
LEAP Science and Maths Schools,1987,,0.553,1987
Ladoke Akintola University of Technology,1990,,0.547,1990
Lafoole University,NA,,0.527,NA
Lagos State University,1983,,0.552,1983
Lagos State University of Science and Technology,1977,,0.558,1977
Laikipia University,1929,,0.496,1929
Lancaster University Ghana,1964,,0.585,1964
Landmark University,2011,,0.503,2011
Larbi Ben M'hidi University of Oum El Bouaghi,2001,,0.546,2001
Lead City University,2005,,0.515,2005
Lebanese International University of Mauritania,NA,,0.603,NA
Levy Mwanawasa Medical University,2018,,0.549,2018
Liberia Institute Of Public Administration,1969,,0.57,1969
Libya Institute for Advanced Studies,2012,,0.526,2012
Libya Open University,NA,,0.572,NA
Libyan Academy,1988,,0.538,1988
Libyan Centre for Dental Research,2023,,0.552,2023
Libyan International Medical University,2007,,0.58,2007
Light University of Bujumbur,2000,,0.546,2000
Lilongwe University of Agriculture and Natural Resources,2011,,0.593,2011
Lira University,2016,,0.558,2016
LivingStone International University,2012,,0.552,2012
Local Government Training Institute,1952,,0.572,1952
Lower Shabelle University,2010,,0.526,2010
Loyola University of Congo,2016,,0.556,2016
Lukenya University,2013,,0.526,2013
Lupane State University,2005,,0.537,2005
Lusaka Apex Medical University,2008,,0.555,2008
Luxor University,2019,,0.519,2019
Lyceum College,1917,,0.518,1917
Lúrio University,2006,,0.478,2006
Maakhir University,2009,,0.456,2009
Maasai Mara University,2013,,0.538,2013
Machakos School,1915,,0.446,1915
Machakos University,1957,,0.476,1957
Madda Walabu University,2006,,0.496,2006
Madina Academy,1998,,0.473,1998
Madonna University,1937,,0.473,1937
Mahatma Gandhi Institute,1970,,0.516,1970
Mahatma Gandhi University,1983,,0.517,1983
Maitama Sule University Kano,2012,,0.534,2012
Makerere University,1922,,0.479,1922
Malawi Adventist University,1969,,0.53,1969
Malawi School of Government,1966,,0.489,1966
Malawi University of Science and Technology,2012,,0.545,2012
Management College of Southern Africa,1995,,0.531,1995
Mandela Institute for Development Studies,2010,,0.558,2010
Mangosuthu University of Technology,1979,,0.511,1979
Manicaland State University of Applied Sciences,2016,,0.598,2016
Manouba University,1801,,0.482,1801
Mansoura National University,2022,,0.554,2022
Mansoura University,1972,,0.48,1972
Margaret Lawrence University,2022,,0.558,2022
Marien Ngouabi University,1971,,0.526,1971
Marondera University of Agricultural Sciences and Technology,2015,,0.577,2015
Maryam Abacha American University of Niger,2013,,0.57,2013
Maseno University,1991,,0.544,1991
Mashreq University,2003,,0.494,2003
Masinde Muliro University of Science and Technology,1972,,0.575,1972
Mateur Higher School of Agriculture,1956,,0.507,1956
Matrouh University,2018,,0.481,2018
Mauritius Institute of Education,1973,,0.505,1973
Mbarara University of Science and Technology,1989,,0.569,1989
Mbeya University of Science and Technology,2012,,0.572,2012
McPherson University,2012,,0.468,2012
Media Council of Kenya,2004,,0.525,2004
Mediterranean School of Business,2002,,0.536,2002
Mekdela Amba University,2015,,0.516,2015
Mekelle University,1991,,0.507,1991
Menoufia University,1976,,0.472,1976
Meru University of Science and Technology,1979,,0.558,1979
Methodist University College Ghana,2000,,0.554,2000
Methodist University of Angola,2007,,0.548,2007
Metropolitan International University,2017,,0.566,2017
Mfantsiman Girls Secondary School,1958,,0.534,1958
Michael Okpara University of Agriculture,1992,,0.564,1992
Middlesex University,2013,,0.472,2013
Midlands State University,2000,,0.586,2000
Midocean University,2020,,0.529,2020
Midrand Graduate Institute,1989,,0.538,1989
Military Technical College,1957,,0.581,1957
Milpark Education,1997,,0.531,1997
Minia University,1976,,0.491,1976
Misr International University,1996,,0.564,1996
Misr University for Science and Technology,1996,,0.567,1996
Mission de Promotion des Materiaux Locaux,NA,,0.57,NA
Misurata University,1984,,0.539,1984
Mizan Tepi University,2006,,0.495,2006
Modern Academy,1993,,0.478,1993
Modern Academy for Engineering and Technology,2001,,0.584,2001
Modern University for Information and Technology,2004,,0.595,2004
Modibbo Adama University of Technology,1981,,0.543,1981
Mogadishu University,1997,,0.473,1997
Mohamed I University,1978,,0.502,1978
Mohamed-Cherif Messaadia University,1998,,0.56,1998
Mohammed V University,1957,,0.471,1957
Moi University,1984,,0.488,1984
Monarch University,2025,,0.52,2025
Moshi Co-operative University,2014,,0.522,2014
Mouloud Mammeri University of Tizi-Ouzou,1977,,0.489,1977
Mount Kenya University,1996,,0.499,1996
Mount Meru University,1962,,0.498,1962
Mountain Top University,2015,,0.52,2015
Mountains of the Moon University,2005,,0.517,2005
Mountcrest University College,2008,,0.554,2008
Muhimbili University of Health and Allied Sciences,1963,,0.562,1963
Mukuba University,1974,,0.464,1974
Mulago School of Nursing and Midwifery,NA,,0.528,NA
Multimedia University of Kenya,1948,,0.513,1948
Mulungushi University,2008,,0.484,2008
Muni University,2013,,0.483,2013
Murang'a University of Technology,2016,,0.483,2016
Muslim University of Morogoro,2004,,0.481,2004
Mutare Polytechnic,1984,,0.496,1984
Muteesa I Royal University,2007,,0.553,2007
Mzumbe University,2001,,0.464,2001
Mzuzu University,1997,,0.389,1997
Nahda College,2014,,0.522,2014
Nahda University,2006,,0.48,2006
Nalikule College of Education,2017,,0.525,2017
Nalut University,2017,,0.506,2017
Namibia Institute of Pathology,2000,,0.497,2000
Namibia University of Science and Technology,1994,,0.567,1994
Nasarawa State University,2002,,0.557,2002
National Advanced School of Public Works,1970,,0.528,1970
National Archives of Senegal,1962,,0.552,1962
National Banking College,1994,,0.577,1994
National Center for Educational Research and Development,1972,,0.612,1972
National Council for Curriculum and Assessment,2007,,0.567,2007
National Defence College Kenya,1992,,0.542,1992
National Engineering School of Tunis,1968,,0.553,1968
National Examinations Council,1999,,0.556,1999
National Higher School of Autonomous Systems Technology,2023,,0.557,2023
National Higher School of Mathematics,2022,,0.538,2022
National Higher School of Statistics and Applied Economy,1970,,0.548,1970
National Higher School of Technology and Engineering Annaba,2023,,0.554,2023
National Institute for Nigerian Languages,1993,,0.538,1993
National Institute for Research in Education,1962,,0.571,1962
National Institute of Arts,1967,,0.528,1967
National Institute of Public Administration,1963,,0.589,1963
National Institute of Transport,1975,,0.539,1975
National Library of Somalia,1975,,0.54,1975
National Nurses Association of Kenya,1968,,0.57,1968
National Open University of Nigeria,1983,,0.583,1983
National Polytechnic University Institute Bamenda,1996,,0.55,1996
National Postgraduate Medical College of Nigeria,1979,,0.592,1979
National Ribat University,2000,,0.543,2000
National School of Architecture,1980,,0.526,1980
National School of Artificial Intelligence,2021,,0.546,2021
National School of Built and Ground Works Engineering,1966,,0.544,1966
National School of Business and Management in Settat,1994,,0.593,1994
National School of Computer Science,1984,,0.54,1984
"National School of Electronics and Telecommunications of Sfax, Tunisia",NA,,0.582,NA
National School of Mineral Industry,1972,,0.552,1972
National Telecommunications Institute,1983,,0.566,1983
National Universities Commission,1974,,0.525,1974
National University,1994,,0.51,1994
National University of Equatorial Guinea,1995,,0.56,1995
National University of Lesotho,1945,,0.51,1945
National University of Science and Technology,1918,,0.559,1918
"National University of Sciences, Technologies, Engineering and Mathematics",2014,,0.594,2014
Nazi Boni University,1995,,0.521,1995
Ndejje University,1992,,0.478,1992
Nelson Mandela African Institution of Science and Technology,2010,,0.595,2010
Nelson Mandela University,2005,,0.548,2005
New Generation University College,2002,,0.549,2002
New Giza University,2016,,0.512,2016
Newgate University Minna,2022,,0.539,2022
Niger Delta University,2000,,0.542,2000
Niger State Polytechnic,1977,,0.542,1977
Nigeria Police Academy,2012,,0.582,2012
Nigerian Army College of Education,2019,,0.566,2019
Nigerian Defence Academy,1964,,0.536,1964
Nigerian Institute of Transport Technology,1986,,0.555,1986
Nigerian University Games Association,1966,,0.576,1966
Nigerian University of Technology and Management,2020,,0.592,2020
Nile University,2007,,0.505,2007
Nile University of Nigeria,1998,,0.52,1998
Nile University of Science and Technology,2017,,0.567,2017
Nile Valley University,1990,,0.529,1990
Njala University,1964,,0.489,1964
Nkumba University,1994,,0.459,1994
Nnamdi Azikiwe University,1991,,0.466,1991
North Gate University,NA,,0.546,NA
"North-Eastern University, Gombe",2022,,0.533,2022
North-West University,2004,,0.527,2004
Northrise University,2003,,0.508,2003
Novena University,2005,,0.497,2005
Nugaal University,2004,,0.501,2004
"Nurses' Training College, Ho",1964,,0.511,1964
Obafemi Awolowo University,1999,,0.485,1999
Obong University,1997,,0.484,1997
Obour Institutes,NA,,0.491,NA
October 6 University,1996,,0.505,1996
October High Institute For Enginnering and Technology,1993,,0.573,1993
October University of Modern Sciences and Arts,1996,,0.54,1996
Oda Bultum University,2015,,0.483,2015
Oduduwa University,2009,,0.451,2009
Ogun State Institute of Technology Igbesa,2005,,0.553,2005
Olabisi Onabanjo University,1982,,0.535,1982
Olusegun Agagu University of Science and Technology,2010,,0.542,2010
Omar Al-Mukhtar University,1961,,0.48,1961
Omar Bongo University,1970,,0.522,1970
Omdurman Ahlia University,1986,,0.534,1986
Omdurman Islamic University,1901,,0.538,1901
One World University,NA,,0.513,NA
Open University of Kenya,2023,,0.523,2023
Open University of Mauritius,2012,,0.509,2012
Open University of Sudan,2002,,0.509,2002
Open University of Tanzania,1992,,0.53,1992
Open University of West Africa,NA,,0.534,NA
Open Window School of Visual Communication,1993,,0.513,1993
Oran Graduate School of Economics,2010,,0.5,2010
Oromia State University,2000,,0.54,2000
"Osun State College of Education, Ila-Orangun",1988,,0.543,1988
Osun State University,2006,,0.52,2006
Pan Africa Christian University,1978,,0.554,1978
Pan African Christian University College,2001,,0.557,2001
Pan African Institute for Development,1969,,0.566,1969
Pan African Institute for Development Regional Institute for West Africa,1969,,0.556,1969
Pan-African University,2002,,0.518,2002
Pan-Atlantic University,2002,,0.502,2002
Paul University Awka,2009,,0.47,2009
Pedagogical University,1985,,0.497,1985
Pentecost University College,1994,,0.589,1994
Pharaohs Higher Institute of Computer Information Systems and Management,2001,,0.614,2001
Pharos University in Alexandria,2006,,0.516,2006
Philomath University,2021,,0.506,2021
Pigier Bénin,1997,,0.49,1997
Pigier Côte d'Ivoire,1956,,0.542,1956
Pioneer International University,NA,,0.573,NA
Plasma University,2005,,0.531,2005
Plateau State University,2005,,0.539,2005
Polytechnic School of Algiers,1925,,0.496,1925
Poma International Business University,2007,,0.553,2007
Port Said University,2010,,0.547,2010
Presbyterian University of East Africa,2007,,0.568,2007
"Presbyterian University, Ghana",2003,,0.536,2003
Private University of Angola,2000,,0.532,2000
Production Management Institute of Southern Africa,1977,,0.563,1977
Puntland State University,1999,,0.539,1999
Pwani University,2007,,0.503,2007
Radford University College,2009,,0.531,2009
Raya University,2015,,0.499,2015
Red Sea University,1994,,0.514,1994
Redeemer's University,2005,,0.476,2005
Reformed Church University,2012,,0.477,2012
Regenesys Business School,1998,,0.487,1998
Regent Business School,NA,,0.56,NA
Regent University College of Science and Technology,2003,,0.58,2003
Regentropfen University College,NA,,0.54,NA
Regional Centre for Training in Aerospace Surveys,1972,,0.617,1972
Regional Maritime University,2007,,0.566,2007
Renaissance University,2005,,0.534,2005
Rhema University,2009,,0.489,2009
Rhodes University,1904,,0.471,1904
Riara University,2012,,0.512,2012
Rift Valley University,2000,,0.515,2000
Rivers State University,1980,,0.554,1980
Rongo University,2011,,0.512,2011
Royal Centre for Remote Sensing,1989,,0.548,1989
Ruaha Catholic University,2005,,0.508,2005
Rumbek University,NA,,0.441,NA
Rusangu University,2002,,0.503,2002
Rwanda Polytechnic,2017,,0.487,2017
SIMAD University,1999,,0.549,1999
"SS Peter and Paul Major Seminary, Bodija",1908,,0.531,1908
Sa'adatu Rimi College of Education,1981,,0.528,1981
Sa'adu Zungur University,2011,,0.469,2011
Sabratha University,NA,,0.483,NA
Sadat Academy for Management Sciences,1981,,0.549,1981
Salem University,1988,,0.523,1988
Samara University,2008,,0.471,2008
Sanaag University of Science and Technology,NA,,0.591,NA
Scott Christian University,1962,,0.53,1962
Sebastian Kolowa Memorial University,2012,,0.543,2012
Sebha University,1983,,0.486,1983
Sedibeng TVET College,2002,,0.522,2002
Sefako Makgatho Health Sciences University,2015,,0.507,2015
Senghor University,1990,,0.525,1990
Shendi University,1994,,0.506,1994
Sheppard and Lapsley Presbyterian University of Congo,NA,,0.606,NA
Sicambeni Rural University,1908,,0.55,1908
Sidi Mohamed Ben Abdellah University,1975,,0.561,1975
Sikkim Manipal University,1995,,0.498,1995
Sinai University,2006,,0.519,2006
Sinnar University,1977,,0.514,1977
Sirte University,1991,,0.521,1991
Skyline University Nigeria,2018,,0.492,2018
Social Work Institute in Cairo,NA,,0.555,NA
Sohag University,2006,,0.499,2006
Sokoine University of Agriculture,1984,,0.536,1984
Sokoto State University,2009,,0.496,2009
Sol Plaatje University,2014,,0.525,2014
Solusi University,1894,,0.515,1894
Somali International University,2012,,0.583,2012
Somali National University,1954,,0.559,1954
Somali STEM Society,2017,,0.507,2017
Somaliland University of Technology,2000,,0.556,2000
Soroti University,2015,,0.515,2015
South African College of Applied Psychology,1997,,0.539,1997
South African National Energy Development Institute,NA,,0.595,NA
South African School of Motion Picture Medium and Live Performance,NA,,0.652,NA
South African Theological Seminary,1996,,0.524,1996
South Eastern Kenya University,1976,,0.543,1976
South Valley University,1995,,0.491,1995
Southern Africa Nazarene University,2010,,0.538,2010
Sphinx University,2020,,0.514,2020
Spiritan University Nneochi,2017,,0.504,2017
St Augustine College of South Africa,1999,,0.52,1999
St. Augustine International University,2011,,0.526,2011
St. Augustine University of Tanzania,2002,,0.549,2002
St. Christopher Iba Mar Diop College of Medicine,2000,,0.582,2000
St. Francis University College of Health and Allied Sciences,2011,,0.604,2011
St. John's University of Tanzania,1999,,0.505,1999
St. Joseph University In Tanzania,2011,,0.527,2011
St. Lawrence University,2006,,0.52,2006
St. Mary's University,1998,,0.483,1998
St. Mary's University in Juba,NA,,0.551,NA
St. Paul's University,1903,,0.507,1903
Stafford University,2015,,0.473,2015
Stalwart University Institute,2019,,0.576,2019
State University of Medical and Applied Sciences,NA,,0.593,NA
State University of Zanzibar,1999,,0.504,1999
Stella Maris Polytechnic,1988,,0.556,1988
Stellenbosch University,1866,,0.529,1866
Strathmore University,1961,,0.514,1961
Sudan Academy for Banking and Financial Sciences,1963,,0.569,1963
Sudan Academy of Sciences,2004,,0.55,2004
Sudan Childhood Diabetes Association,2003,,0.502,2003
Sudan International University,1990,,0.533,1990
Sudan Medical Specialization Board,1995,,0.547,1995
Sudan University of Science and Technology,1902,,0.561,1902
Sudanese Universities Information Network,NA,,0.539,NA
Suez Canal University,1976,,0.53,1976
Suez University,2012,,0.482,2012
Sule Lamido University Kafin Hausa,2013,,0.518,2013
"Summit University, Offa",NA,,0.462,NA
Sunyani Technical University,1967,,0.549,1967
Sup Management,1995,,0.474,1995
Sup de Co Marrakech,1987,,0.484,1987
Supershine University,2014,,0.509,2014
Surman College of Science and Technology,1984,,0.562,1984
SwissLink Higher Institute of Business & Technology,2017,,0.561,2017
Taasisi ya Sanaa na Utamaduni Bagamoyo,2007,,0.568,2007
Tai Solarin University of Education,2005,,0.531,2005
Takoradi Technical University,1954,,0.547,1954
Tangaza University,1986,,0.498,1986
Tansian University,2009,,0.54,2009
Tanta University,1972,,0.5,1972
Tanzania Agriculture Research Institute,2016,,0.568,2016
Tanzania Commission for Universities,2005,,0.525,2005
Tanzania Institute of Education (TIE),1975,,0.543,1975
Taraba State College of Health Technology Takum,1991,,0.573,1991
Taraba State University,2008,,0.529,2008
Team University,2010,,0.507,2010
Technical University of Angola,2007,,0.535,2007
Technical University of Kenya,1956,,0.517,1956
Technical University of Mombasa,2013,,0.552,2013
Tengeru Institute of Community Development,1963,,0.531,1963
Teofilo Kisanji University,2007,,0.507,2007
Testament Theological Seminary,2022,,0.539,2022
The Catholic University of Malawi,2004,,0.526,2004
"The Federal Polytechnic, Ado-Ekiti",1977,,0.512,1977
The Future University,1991,,0.464,1991
The Gambia College,1949,,0.518,1949
The Higher Institute of Applied Arts Fifth settlement,2005,,0.597,2005
The Higher Institute of Engineering Technologies Benghazi,2013,,0.614,2013
The Higher School of Management and Digital Economy,2019,,0.552,2019
The Independent Institute of Education,2005,,0.526,2005
The Kenya Education Management Institute,1986,,0.553,1986
The Knowledge Hub Universities,2019,,0.5,2019
The Nigerian Baptist Theological Seminary,1898,,0.558,1898
The Polytechnic Ibadan,1970,,0.538,1970
The University Centre for Studies in Namibia,1978,,0.573,1978
The University of Dodoma,2007,,0.511,2007
Thebes Academy,1995,,0.513,1995
Time Université,2002,,0.445,2002
Tissemsilt University,2008,,0.556,2008
Tom Mboya University College,2016,,0.529,2016
Trinity University,2019,,0.508,2019
Tshwane University of Technology,2004,,0.527,2004
Tumaini University,1997,,0.537,1997
Tunis El Manar University,2000,,0.532,2000
Tunis University,1945,,0.478,1945
Tunisia Polytechnic School,1991,,0.505,1991
Tunisia Private University,1973,,0.522,1973
Uganda Christian University,1997,,0.526,1997
Uganda Episcopal Conference,1960,,0.555,1960
Uganda Institute of Information & Communications Technology,2000,,0.582,2000
Uganda Management Institute,1969,,0.534,1969
Uganda Martyrs University,1993,,0.536,1993
Uganda Pentecostal University,2001,,0.574,2001
Uganda Petroleum Institute,2009,,0.549,2009
Uganda Technology and Management University,2012,,0.553,2012
Umaru Musa Yar'adua University,2006,,0.501,2006
Umma University,1997,,0.473,1997
UniMAC-GIJ,1959,,0.494,1959
United African University of Tanzania,2012,,0.549,2012
United Methodist University,1998,,0.522,1998
United States International University Africa,1969,,0.577,1969
Unity University College,1998,,0.536,1998
Unité de Recherche en Génie des Procédés et en Génie de l’Environnement,2014,,0.57,2014
Universiapolis - Université Internationale d'Agadir,1989,,0.6,1989
Universidade Aberta ISCED,2012,,0.529,2012
Universidade Colinas de Boé,2003,,0.512,2003
Universidade Gregório Semedo,2004,,0.466,2004
Universidade Independente de Angola,2004,,0.462,2004
Universidade Jean Piaget de Moçambique,2001,,0.539,2001
Universidade José Eduardo dos Santos,1974,,0.545,1974
Universidade Katyavala Bwila,2009,,0.504,2009
Universidade Kimpa Vita,1983,,0.473,1983
Universidade Lusíada de Angola,NA,,0.489,NA
Universidade Lusófona da Guiné,NA,,0.522,NA
Universidade Mandume Ya Ndemufayo,1963,,0.492,1963
Universidade Politecnica,NA,,0.519,NA
Universidade Rainha Njinga a Mbande,2020,,0.56,2020
Universidade São Tomás de Moçambique,NA,,0.491,NA
Universidade Técnica de Moçambique,2003,,0.482,2003
Universidade Zambeze,2007,,0.418,2007
Universidade de Belas,2007,,0.511,2007
Universidade de São Tomé e Príncipe,2014,,0.499,2014
Universidade Óscar Ribas,NA,,0.532,NA
Universite Adventiste de Lukanga,NA,,0.548,NA
Universite des Sciences Appliquée et Management,NA,,0.585,NA
University Center of Barika,2011,,0.503,2011
University Center of Illizi,2015,,0.517,2015
University Centre of Maghnia,2006,,0.532,2006
University College of Agriculture and Environmental Studies,1963,,0.618,1963
University College of Aviation and Technology,NA,,0.596,NA
University College of Management Studies,1974,,0.556,1974
University College of Technology,2003,,0.518,2003
University Elmergib,NA,,0.505,NA
University Ferhat Abbas of Setif,1978,,0.557,1978
University Frères Mentouri Constantine 1,1969,,0.547,1969
University Mohamed Boudiaf of M'sila,1985,,0.525,1985
University Mohamed El Bachir El Ibrahimi of Bordj Bou Arreridj,2000,,0.562,2000
University Yahia Fares of Medea,1988,,0.505,1988
University for Development Studies,1992,,0.549,1992
