inst_id,year,n_publications
I2799835767,2006,0
I2799835767,2007,3
I2799835767,2008,0
I2799835767,2009,3
I2799835767,2010,3
I2799835767,2011,0
I2799835767,2012,5
I2799835767,2013,4
I2799835767,2014,7
I2799835767,2015,8
I2799835767,2016,6
I2799835767,2017,19
I2799835767,2018,45
I2799835767,2019,69
I2799835767,2020,108
I2799835767,2021,148
I2799835767,2022,158
I2799835767,2023,240
I2799835767,2024,238
I2799835767,2025,268
I2799835767,2026,110
I3132429795,2006,1
I3132429795,2007,0
I3132429795,2008,0
I3132429795,2009,2
I3132429795,2010,1
I3132429795,2011,1
I3132429795,2012,0
I3132429795,2013,8
I3132429795,2014,31
I3132429795,2015,58
I3132429795,2016,37
I3132429795,2017,43
I3132429795,2018,57
I3132429795,2019,115
I3132429795,2020,210
I3132429795,2021,96
I3132429795,2022,72
I3132429795,2023,116
I3132429795,2024,173
I3132429795,2025,149
I3132429795,2026,93
I4210121139,2006,0
I4210121139,2007,0
I4210121139,2008,0
I4210121139,2009,1
I4210121139,2010,1
I4210121139,2011,0
I4210121139,2012,0
I4210121139,2013,1
I4210121139,2014,1
I4210121139,2015,1
I4210121139,2016,1
I4210121139,2017,0
I4210121139,2018,1
I4210121139,2019,1
I4210121139,2020,3
I4210121139,2021,2
I4210121139,2022,5
I4210121139,2023,4
I4210121139,2024,7
I4210121139,2025,8
I4210121139,2026,3
I4405255364,2006,0
I4405255364,2007,0
I4405255364,2008,0
I4405255364,2009,0
I4405255364,2010,0
I4405255364,2011,0
I4405255364,2012,0
I4405255364,2013,0
I4405255364,2014,0
I4405255364,2015,0
I4405255364,2016,0
I4405255364,2017,0
I4405255364,2018,0
I4405255364,2019,0
I4405255364,2020,0
I4405255364,2021,0
I4405255364,2022,0
I4405255364,2023,0
I4405255364,2024,0
I4405255364,2025,0
I4405255364,2026,0
I4210155196,2006,0
I4210155196,2007,0
I4210155196,2008,0
I4210155196,2009,0
I4210155196,2010,0
I4210155196,2011,0
I4210155196,2012,0
I4210155196,2013,1
I4210155196,2014,1
I4210155196,2015,1
I4210155196,2016,1
I4210155196,2017,0
I4210155196,2018,3
I4210155196,2019,2
I4210155196,2020,4
I4210155196,2021,0
I4210155196,2022,1
I4210155196,2023,5
I4210155196,2024,6
I4210155196,2025,9
I4210155196,2026,6
I2799887408,2006,0
I2799887408,2007,0
I2799887408,2008,1
I2799887408,2009,0
I2799887408,2010,0
I2799887408,2011,0
I2799887408,2012,0
I2799887408,2013,1
I2799887408,2014,1
I2799887408,2015,2
I2799887408,2016,3
I2799887408,2017,3
I2799887408,2018,3
I2799887408,2019,10
I2799887408,2020,12
I2799887408,2021,16
I2799887408,2022,33
I2799887408,2023,41
I2799887408,2024,35
I2799887408,2025,48
I2799887408,2026,8
I3132105718,2006,2
I3132105718,2007,0
I3132105718,2008,0
I3132105718,2009,1
I3132105718,2010,1
I3132105718,2011,2
I3132105718,2012,0
I3132105718,2013,1
I3132105718,2014,1
I3132105718,2015,2
I3132105718,2016,2
I3132105718,2017,7
I3132105718,2018,2
I3132105718,2019,3
I3132105718,2020,8
I3132105718,2021,8
I3132105718,2022,16
I3132105718,2023,11
I3132105718,2024,19
I3132105718,2025,34
I3132105718,2026,20
I4210155251,2006,0
I4210155251,2007,0
I4210155251,2008,0
I4210155251,2009,1
I4210155251,2010,0
I4210155251,2011,0
I4210155251,2012,0
I4210155251,2013,2
I4210155251,2014,4
I4210155251,2015,3
I4210155251,2016,5
I4210155251,2017,1
I4210155251,2018,0
I4210155251,2019,8
I4210155251,2020,8
I4210155251,2021,5
I4210155251,2022,3
I4210155251,2023,4
I4210155251,2024,6
I4210155251,2025,8
I4210155251,2026,6
I29787537,2006,0
I29787537,2007,5
I29787537,2008,2
I29787537,2009,3
I29787537,2010,2
I29787537,2011,17
I29787537,2012,15
I29787537,2013,88
I29787537,2014,128
I29787537,2015,129
I29787537,2016,152
I29787537,2017,235
I29787537,2018,280
I29787537,2019,317
I29787537,2020,373
I29787537,2021,521
I29787537,2022,683
I29787537,2023,958
I29787537,2024,1100
I29787537,2025,861
I29787537,2026,428
I2802393258,2006,7
I2802393258,2007,14
I2802393258,2008,15
I2802393258,2009,22
I2802393258,2010,13
I2802393258,2011,14
I2802393258,2012,17
I2802393258,2013,18
I2802393258,2014,20
I2802393258,2015,178
I2802393258,2016,222
I2802393258,2017,201
I2802393258,2018,265
I2802393258,2019,276
I2802393258,2020,408
I2802393258,2021,589
I2802393258,2022,591
I2802393258,2023,706
I2802393258,2024,802
I2802393258,2025,855
I2802393258,2026,396
I2800483928,2006,2
I2800483928,2007,3
I2800483928,2008,6
I2800483928,2009,1
I2800483928,2010,5
I2800483928,2011,2
I2800483928,2012,11
I2800483928,2013,1
I2800483928,2014,1
I2800483928,2015,8
I2800483928,2016,8
I2800483928,2017,10
I2800483928,2018,23
I2800483928,2019,36
I2800483928,2020,46
I2800483928,2021,73
I2800483928,2022,55
I2800483928,2023,64
I2800483928,2024,87
I2800483928,2025,133
I2800483928,2026,32
I4210165634,2006,1
I4210165634,2007,2
I4210165634,2008,6
I4210165634,2009,4
I4210165634,2010,5
I4210165634,2011,9
I4210165634,2012,5
I4210165634,2013,4
I4210165634,2014,12
I4210165634,2015,13
I4210165634,2016,18
I4210165634,2017,22
I4210165634,2018,24
I4210165634,2019,18
I4210165634,2020,23
I4210165634,2021,21
I4210165634,2022,44
I4210165634,2023,26
I4210165634,2024,18
I4210165634,2025,29
I4210165634,2026,12
I165390105,2006,348
I165390105,2007,324
I165390105,2008,449
I165390105,2009,485
I165390105,2010,727
I165390105,2011,996
I165390105,2012,1327
I165390105,2013,1556
I165390105,2014,1828
I165390105,2015,1843
I165390105,2016,1984
I165390105,2017,2121
I165390105,2018,1923
I165390105,2019,2329
I165390105,2020,2610
I165390105,2021,2788
I165390105,2022,3082
I165390105,2023,3427
I165390105,2024,4147
I165390105,2025,4597
I165390105,2026,2226
I4210110684,2006,0
I4210110684,2007,0
I4210110684,2008,0
I4210110684,2009,0
I4210110684,2010,0
I4210110684,2011,0
I4210110684,2012,0
I4210110684,2013,0
I4210110684,2014,0
I4210110684,2015,1
I4210110684,2016,0
I4210110684,2017,0
I4210110684,2018,1
I4210110684,2019,0
I4210110684,2020,2
I4210110684,2021,0
I4210110684,2022,1
I4210110684,2023,0
I4210110684,2024,3
I4210110684,2025,10
I4210110684,2026,8
I148561064,2006,80
I148561064,2007,63
I148561064,2008,84
I148561064,2009,96
I148561064,2010,100
I148561064,2011,95
I148561064,2012,111
I148561064,2013,131
I148561064,2014,167
I148561064,2015,127
I148561064,2016,156
I148561064,2017,101
I148561064,2018,91
I148561064,2019,103
I148561064,2020,118
I148561064,2021,112
I148561064,2022,92
I148561064,2023,104
I148561064,2024,112
I148561064,2025,120
I148561064,2026,67
I2799873615,2006,1
I2799873615,2007,1
I2799873615,2008,1
I2799873615,2009,3
I2799873615,2010,9
I2799873615,2011,26
I2799873615,2012,29
I2799873615,2013,38
I2799873615,2014,82
I2799873615,2015,82
I2799873615,2016,31
I2799873615,2017,31
I2799873615,2018,56
I2799873615,2019,71
I2799873615,2020,103
I2799873615,2021,139
I2799873615,2022,99
I2799873615,2023,96
I2799873615,2024,107
I2799873615,2025,124
I2799873615,2026,58
I4210121797,2006,118
I4210121797,2007,110
I4210121797,2008,95
I4210121797,2009,101
I4210121797,2010,89
I4210121797,2011,85
I4210121797,2012,126
I4210121797,2013,97
I4210121797,2014,162
I4210121797,2015,49
I4210121797,2016,15
I4210121797,2017,26
I4210121797,2018,23
I4210121797,2019,27
I4210121797,2020,30
I4210121797,2021,40
I4210121797,2022,30
I4210121797,2023,30
I4210121797,2024,81
I4210121797,2025,245
I4210121797,2026,129
I4405266581,2006,0
I4405266581,2007,0
I4405266581,2008,0
I4405266581,2009,0
I4405266581,2010,0
I4405266581,2011,0
I4405266581,2012,0
I4405266581,2013,0
I4405266581,2014,0
I4405266581,2015,0
I4405266581,2016,0
I4405266581,2017,0
I4405266581,2018,0
I4405266581,2019,0
I4405266581,2020,0
I4405266581,2021,0
I4405266581,2022,0
I4405266581,2023,0
I4405266581,2024,0
I4405266581,2025,0
I4405266581,2026,0
I4210113241,2006,0
I4210113241,2007,0
I4210113241,2008,0
I4210113241,2009,0
I4210113241,2010,0
I4210113241,2011,1
I4210113241,2012,0
I4210113241,2013,1
I4210113241,2014,1
I4210113241,2015,0
I4210113241,2016,0
I4210113241,2017,0
I4210113241,2018,1
I4210113241,2019,3
I4210113241,2020,0
I4210113241,2021,0
