inst_id,year,n_publications
https://openalex.org/I158248296,2020,2892
https://openalex.org/I158248296,2021,2834
https://openalex.org/I158248296,2022,2478
https://openalex.org/I158248296,2023,2548
https://openalex.org/I158248296,2024,2536
https://openalex.org/I158248296,2025,2331
https://openalex.org/I158248296,2026,650
https://openalex.org/I191972202,2017,1128
https://openalex.org/I191972202,2018,1288
https://openalex.org/I191972202,2019,1501
https://openalex.org/I191972202,2020,1873
https://openalex.org/I191972202,2021,2584
https://openalex.org/I191972202,2022,2456
https://openalex.org/I191972202,2023,2619
https://openalex.org/I191972202,2024,3159
https://openalex.org/I4405263076,2025,0
https://openalex.org/I4405263076,2026,0
https://openalex.org/I4405262955,2025,0
https://openalex.org/I4405262955,2026,0
https://openalex.org/I191972202,2025,2777
https://openalex.org/I191972202,2026,1067
https://openalex.org/I81556334,2016,1097
https://openalex.org/I81556334,2017,1697
https://openalex.org/I81556334,2018,1830
https://openalex.org/I81556334,2019,1732
https://openalex.org/I81556334,2020,2215
https://openalex.org/I81556334,2021,2397
https://openalex.org/I81556334,2022,2687
https://openalex.org/I81556334,2024,4735
https://openalex.org/I17533244,2022,631
https://openalex.org/I17533244,2023,789
https://openalex.org/I17533244,2024,994
https://openalex.org/I17533244,2025,1227
https://openalex.org/I17533244,2026,505
https://openalex.org/I133743585,2016,1137
https://openalex.org/I133743585,2017,1327
https://openalex.org/I133743585,2018,1113
https://openalex.org/I133743585,2019,964
https://openalex.org/I133743585,2020,993
https://openalex.org/I133743585,2021,1119
https://openalex.org/I133743585,2022,1119
https://openalex.org/I133743585,2023,1318
https://openalex.org/I133743585,2024,1086
https://openalex.org/I133743585,2025,1205
https://openalex.org/I133743585,2026,482
https://openalex.org/I100887729,2016,724
https://openalex.org/I100887729,2017,745
https://openalex.org/I100887729,2018,931
https://openalex.org/I100887729,2019,790
https://openalex.org/I100887729,2020,867
https://openalex.org/I100887729,2021,913
https://openalex.org/I100887729,2022,971
https://openalex.org/I100887729,2023,1142
https://openalex.org/I100887729,2024,1103
https://openalex.org/I51216347,2017,804
https://openalex.org/I51216347,2018,871
https://openalex.org/I51216347,2019,879
https://openalex.org/I51216347,2020,961
https://openalex.org/I51216347,2021,1051
https://openalex.org/I51216347,2022,1098
https://openalex.org/I51216347,2023,1123
https://openalex.org/I51216347,2024,1314
https://openalex.org/I51216347,2025,1391
https://openalex.org/I51216347,2026,626
https://openalex.org/I143868143,2026,2407
https://openalex.org/I149218525,2017,2875
https://openalex.org/I149218525,2018,3035
https://openalex.org/I149218525,2019,3153
https://openalex.org/I149218525,2020,3754
https://openalex.org/I149218525,2021,4349
https://openalex.org/I149218525,2022,4355
https://openalex.org/I149218525,2023,4449
https://openalex.org/I149218525,2024,4526
https://openalex.org/I149218525,2025,5522
https://openalex.org/I149218525,2026,2389
https://openalex.org/I4210150808,2024,1579
https://openalex.org/I4210150808,2025,1507
https://openalex.org/I4210150808,2026,523
https://openalex.org/I33585257,2020,2397
https://openalex.org/I33585257,2021,2499
https://openalex.org/I33585257,2022,2549
https://openalex.org/I33585257,2023,2288
https://openalex.org/I33585257,2024,2437
https://openalex.org/I33585257,2025,2564
https://openalex.org/I33585257,2026,967
https://openalex.org/I197081775,2018,999
https://openalex.org/I197081775,2019,1140
https://openalex.org/I197081775,2020,1260
https://openalex.org/I197081775,2021,1437
https://openalex.org/I197081775,2022,1842
https://openalex.org/I197081775,2023,1785
https://openalex.org/I197081775,2024,1463
https://openalex.org/I4210113355,2026,216
https://openalex.org/I131231118,2019,428
https://openalex.org/I131231118,2020,389
https://openalex.org/I131231118,2021,409
https://openalex.org/I131231118,2022,445
https://openalex.org/I131231118,2023,414
https://openalex.org/I131231118,2024,418
https://openalex.org/I131231118,2025,461
https://openalex.org/I131231118,2026,159
https://openalex.org/I146367977,2025,2278
https://openalex.org/I146367977,2026,679
https://openalex.org/I59272784,2022,906
https://openalex.org/I59272784,2023,981
https://openalex.org/I59272784,2024,898
https://openalex.org/I59272784,2025,534
https://openalex.org/I59272784,2026,148
https://openalex.org/I53218197,2025,462
https://openalex.org/I53218197,2026,208
https://openalex.org/I35510649,2021,591
https://openalex.org/I35510649,2022,565
https://openalex.org/I35510649,2023,556
https://openalex.org/I35510649,2024,551
https://openalex.org/I35510649,2025,681
https://openalex.org/I35510649,2026,198
https://openalex.org/I133903919,2023,414
https://openalex.org/I133903919,2024,399
https://openalex.org/I133903919,2025,439
https://openalex.org/I33103891,2026,115
https://openalex.org/I52170813,2021,1235
https://openalex.org/I52170813,2022,1280
https://openalex.org/I52170813,2023,1390
https://openalex.org/I52170813,2024,1373
https://openalex.org/I52170813,2025,1383
https://openalex.org/I52170813,2026,572
https://openalex.org/I21370196,2016,3780
https://openalex.org/I21370196,2017,4182
https://openalex.org/I21370196,2018,4328
https://openalex.org/I21370196,2019,4450
https://openalex.org/I21370196,2020,4979
https://openalex.org/I21370196,2021,5709
https://openalex.org/I21370196,2022,5691
https://openalex.org/I21370196,2023,6153
https://openalex.org/I21370196,2024,5792
https://openalex.org/I21370196,2025,6009
https://openalex.org/I21370196,2026,2424
https://openalex.org/I55732556,2011,4958
https://openalex.org/I55732556,2012,5109
https://openalex.org/I55732556,2013,5486
https://openalex.org/I55732556,2014,6680
https://openalex.org/I55732556,2015,6316
https://openalex.org/I55732556,2016,6619
https://openalex.org/I55732556,2017,6892
https://openalex.org/I55732556,2018,7372
https://openalex.org/I55732556,2019,7856
https://openalex.org/I55732556,2020,9321
https://openalex.org/I55732556,2021,8553
https://openalex.org/I55732556,2022,8041
https://openalex.org/I55732556,2023,8206
https://openalex.org/I55732556,2024,8390
https://openalex.org/I55732556,2025,8670
https://openalex.org/I55732556,2026,3366
https://openalex.org/I190861549,2022,697
https://openalex.org/I190861549,2023,758
https://openalex.org/I190861549,2024,778
https://openalex.org/I190861549,2025,723
https://openalex.org/I190861549,2026,236
https://openalex.org/I143578492,2016,742
https://openalex.org/I143578492,2017,895
https://openalex.org/I143578492,2018,936
https://openalex.org/I143578492,2019,1028
https://openalex.org/I143578492,2020,1607
https://openalex.org/I143578492,2021,2026
https://openalex.org/I143578492,2022,1683
https://openalex.org/I143578492,2023,1371
https://openalex.org/I143578492,2024,1268
https://openalex.org/I143578492,2025,1237
https://openalex.org/I143578492,2026,538
https://openalex.org/I91041137,2018,2128
https://openalex.org/I91041137,2019,2356
https://openalex.org/I91041137,2020,2792
https://openalex.org/I91041137,2021,3147
https://openalex.org/I91041137,2022,3290
https://openalex.org/I91041137,2023,3261
https://openalex.org/I91041137,2024,3111
https://openalex.org/I91041137,2025,3372
https://openalex.org/I91041137,2026,1343
https://openalex.org/I169199633,2012,826
https://openalex.org/I169199633,2015,1114
https://openalex.org/I169199633,2016,1266
https://openalex.org/I169199633,2017,1421
https://openalex.org/I169199633,2018,1426
https://openalex.org/I169199633,2019,1454
https://openalex.org/I169199633,2020,1560
https://openalex.org/I169199633,2021,1633
https://openalex.org/I169199633,2022,1542
https://openalex.org/I169199633,2023,1698
https://openalex.org/I169199633,2024,1691
https://openalex.org/I169199633,2025,1713
https://openalex.org/I169199633,2026,754
https://openalex.org/I86310350,2020,1012
https://openalex.org/I86310350,2021,1108
https://openalex.org/I86310350,2022,1239
https://openalex.org/I86310350,2023,1228
https://openalex.org/I86310350,2024,1147
https://openalex.org/I86310350,2025,1115
https://openalex.org/I86310350,2026,298
https://openalex.org/I64134780,2021,2795
https://openalex.org/I64134780,2022,3010
https://openalex.org/I64134780,2023,3372
https://openalex.org/I64134780,2024,3201
https://openalex.org/I64134780,2025,3404
https://openalex.org/I64134780,2026,1422
https://openalex.org/I19722,2023,475
https://openalex.org/I19722,2024,504
https://openalex.org/I19722,2025,506
https://openalex.org/I19722,2026,160
https://openalex.org/I73142707,2016,542
https://openalex.org/I73142707,2017,455
https://openalex.org/I73142707,2018,512
https://openalex.org/I73142707,2019,496
https://openalex.org/I73142707,2020,492
https://openalex.org/I73142707,2021,452
https://openalex.org/I73142707,2022,472
https://openalex.org/I73142707,2023,494
https://openalex.org/I73142707,2024,442
https://openalex.org/I73142707,2025,571
https://openalex.org/I73142707,2026,204
https://openalex.org/I161010349,2026,279
https://openalex.org/I45542416,2017,271
https://openalex.org/I45542416,2018,360
https://openalex.org/I45542416,2019,339
https://openalex.org/I45542416,2020,439
https://openalex.org/I45542416,2021,459
https://openalex.org/I45542416,2022,460
https://openalex.org/I45542416,2023,446
https://openalex.org/I45542416,2024,426
https://openalex.org/I45542416,2025,357
https://openalex.org/I45542416,2026,150
https://openalex.org/I82497590,2012,1972
https://openalex.org/I82497590,2016,2268
https://openalex.org/I82497590,2017,2544
https://openalex.org/I82497590,2018,2640
https://openalex.org/I82497590,2019,2907
https://openalex.org/I82497590,2020,3338
https://openalex.org/I82497590,2021,3386
https://openalex.org/I82497590,2022,3562
https://openalex.org/I82497590,2023,3689
https://openalex.org/I82497590,2024,3705
https://openalex.org/I82497590,2025,4171
https://openalex.org/I82497590,2026,1351
https://openalex.org/I39854758,2016,1493
https://openalex.org/I39854758,2017,1679
https://openalex.org/I39854758,2018,1733
https://openalex.org/I39854758,2019,1881
https://openalex.org/I39854758,2020,1977
https://openalex.org/I39854758,2021,2134
https://openalex.org/I39854758,2022,2104
https://openalex.org/I39854758,2023,2031
https://openalex.org/I39854758,2024,2058
https://openalex.org/I39854758,2025,2393
https://openalex.org/I39854758,2026,965
https://openalex.org/I16465266,2025,1151
https://openalex.org/I16465266,2026,640
https://openalex.org/I16465266,2016,817
https://openalex.org/I16465266,2017,769
https://openalex.org/I16465266,2018,997
https://openalex.org/I16465266,2019,1051
https://openalex.org/I16465266,2020,1295
https://openalex.org/I16465266,2021,1324
https://openalex.org/I16465266,2022,1240
https://openalex.org/I16465266,2023,1284
https://openalex.org/I16465266,2024,1125
https://openalex.org/I86695891,2017,1459
https://openalex.org/I86695891,2018,1453
https://openalex.org/I86695891,2019,1364
https://openalex.org/I86695891,2020,1253
https://openalex.org/I86695891,2021,1303
https://openalex.org/I86695891,2022,1298
https://openalex.org/I86695891,2023,1406
https://openalex.org/I86695891,2024,1348
https://openalex.org/I86695891,2025,1364
https://openalex.org/I86695891,2026,535
https://openalex.org/I118347636,2011,4804
https://openalex.org/I118347636,2012,5147
https://openalex.org/I118347636,2013,6488
https://openalex.org/I118347636,2014,6001
https://openalex.org/I118347636,2015,6115
https://openalex.org/I118347636,2016,6241
https://openalex.org/I118347636,2017,6343
https://openalex.org/I118347636,2018,6573
https://openalex.org/I118347636,2019,6757
https://openalex.org/I118347636,2020,7598
https://openalex.org/I118347636,2021,7648
https://openalex.org/I118347636,2022,6924
https://openalex.org/I118347636,2023,6999
https://openalex.org/I118347636,2024,6763
https://openalex.org/I118347636,2025,6778
https://openalex.org/I118347636,2026,2628
https://openalex.org/I173664879,2018,580
https://openalex.org/I173664879,2019,644
https://openalex.org/I173664879,2020,628
https://openalex.org/I173664879,2021,675
https://openalex.org/I173664879,2022,718
https://openalex.org/I173664879,2023,652
https://openalex.org/I173664879,2024,690
https://openalex.org/I173664879,2025,834
https://openalex.org/I173664879,2026,365
https://openalex.org/I123044942,2012,5137
https://openalex.org/I123044942,2013,5549
https://openalex.org/I123044942,2014,5728
https://openalex.org/I123044942,2015,5905
https://openalex.org/I123044942,2016,5910
https://openalex.org/I123044942,2017,6031
https://openalex.org/I123044942,2018,6042
https://openalex.org/I123044942,2019,6407
https://openalex.org/I123044942,2020,7370
https://openalex.org/I123044942,2021,7550
https://openalex.org/I123044942,2022,7138
https://openalex.org/I123044942,2023,7159
https://openalex.org/I123044942,2024,6890
https://openalex.org/I63634437,2012,3707
https://openalex.org/I63634437,2013,3731
https://openalex.org/I63634437,2014,3956
https://openalex.org/I63634437,2015,5290
https://openalex.org/I63634437,2016,4375
https://openalex.org/I63634437,2017,4545
https://openalex.org/I63634437,2018,5050
https://openalex.org/I63634437,2019,5080
https://openalex.org/I63634437,2020,6010
https://openalex.org/I63634437,2021,6042
https://openalex.org/I63634437,2022,5875
https://openalex.org/I63634437,2023,7465
https://openalex.org/I63634437,2024,5659
https://openalex.org/I63634437,2025,5702
https://openalex.org/I63634437,2026,2562
https://openalex.org/I196375840,2020,497
https://openalex.org/I196375840,2022,644
https://openalex.org/I196375840,2023,862
https://openalex.org/I196375840,2024,876
https://openalex.org/I196375840,2025,1096
https://openalex.org/I196375840,2026,422
https://openalex.org/I51301133,2019,502
https://openalex.org/I51301133,2020,633
https://openalex.org/I51301133,2021,629
https://openalex.org/I51301133,2022,545
https://openalex.org/I51301133,2023,482
https://openalex.org/I51301133,2024,501
https://openalex.org/I51301133,2025,483
https://openalex.org/I51301133,2026,122
https://openalex.org/I136806742,2025,632
https://openalex.org/I136806742,2026,448
https://openalex.org/I4210086371,2026,375
https://openalex.org/I26889942,2026,242
https://openalex.org/I166073570,2022,2462
https://openalex.org/I166073570,2023,4544
https://openalex.org/I166073570,2024,3431
https://openalex.org/I166073570,2025,4839
https://openalex.org/I166073570,2026,2271
https://openalex.org/I5518804,2024,975
https://openalex.org/I5518804,2025,999
https://openalex.org/I5518804,2026,436
https://openalex.org/I30887324,2026,322
https://openalex.org/I84248293,2018,635
https://openalex.org/I84248293,2019,755
https://openalex.org/I84248293,2020,787
https://openalex.org/I84248293,2021,735
https://openalex.org/I84248293,2022,711
https://openalex.org/I84248293,2023,785
https://openalex.org/I84248293,2024,721
https://openalex.org/I84248293,2025,702
https://openalex.org/I84248293,2026,196
https://openalex.org/I70876197,2023,643
https://openalex.org/I70876197,2024,711
https://openalex.org/I70876197,2025,823
https://openalex.org/I70876197,2026,199
https://openalex.org/I108754898,2019,670
https://openalex.org/I108754898,2022,764
https://openalex.org/I108754898,2023,825
https://openalex.org/I108754898,2024,807
https://openalex.org/I108754898,2025,901
https://openalex.org/I108754898,2026,352
https://openalex.org/I127670440,2017,609
https://openalex.org/I127670440,2018,785
https://openalex.org/I127670440,2019,1090
https://openalex.org/I127670440,2020,1474
https://openalex.org/I127670440,2021,1847
https://openalex.org/I127670440,2022,1960
https://openalex.org/I127670440,2023,1943
