inst_id,year,n_citations
I4210155196,2010,NA
I4210155196,2011,NA
I4210155196,2012,NA
I4210155196,2013,0
I4210155196,2014,12
I4210155196,2015,27
I4210155196,2016,1
I4210155196,2017,NA
I4210155196,2018,1
I4210155196,2019,21
I4210155196,2020,41
I4210155196,2021,NA
I4210155196,2022,4
I4210155196,2023,33
I4210155196,2024,7
I4210155196,2025,1
I4210155196,2026,0
I2799887408,2006,NA
I2799887408,2007,NA
I2799887408,2008,11
I2799887408,2009,NA
I2799887408,2010,NA
I2799887408,2011,NA
I2799887408,2012,NA
I2799887408,2013,0
I2799887408,2014,34
I2799887408,2015,61
I2799887408,2016,22
I2799887408,2017,51
I2799887408,2018,21
I2799887408,2019,508
I2799887408,2020,124
I2799887408,2021,93
I2799887408,2022,73
I2799887408,2023,25
I2799887408,2024,33
I2799887408,2025,39
I2799887408,2026,0
I3132105718,2006,1
I3132105718,2007,NA
I3132105718,2008,NA
I3132105718,2009,52
I3132105718,2010,2
I3132105718,2011,4
I3132105718,2012,NA
I3132105718,2013,69
I3132105718,2014,7
I3132105718,2015,2
I3132105718,2016,9
I3132105718,2017,256
I3132105718,2018,7
I3132105718,2019,1
I3132105718,2020,192
I3132105718,2021,7
I3132105718,2022,23
I3132105718,2023,26
I3132105718,2024,45
I3132105718,2025,33
I3132105718,2026,0
I4210155251,2006,NA
I4210155251,2007,NA
I4210155251,2008,NA
I4210155251,2009,203
I4210155251,2010,NA
I4210155251,2011,NA
I4210155251,2012,NA
I4210155251,2013,181
I4210155251,2014,9
I4210155251,2015,6
I4210155251,2016,69
I4210155251,2017,31
I4210155251,2018,NA
I4210155251,2019,48
I4210155251,2020,511
I4210155251,2021,61
I4210155251,2022,12
I4210155251,2023,7
I4210155251,2024,15
I4210155251,2025,5
I4210155251,2026,0
I29787537,2006,NA
I29787537,2007,61
I29787537,2008,0
I29787537,2009,0
I29787537,2010,2
I29787537,2011,17
I29787537,2012,448
I29787537,2013,1268
I29787537,2014,769
I29787537,2015,1927
I29787537,2016,2496
I29787537,2017,3585
I29787537,2018,4041
I29787537,2019,4805
I29787537,2020,4174
I29787537,2021,4224
I29787537,2022,5808
I29787537,2023,5966
I29787537,2024,3781
I29787537,2025,1220
I29787537,2026,37
I2802393258,2006,197
I2802393258,2007,900
I2802393258,2008,1088
I2802393258,2009,460
I2802393258,2010,403
I2802393258,2011,503
I2802393258,2012,225
I2802393258,2013,317
I2802393258,2014,882
I2802393258,2015,1829
I2802393258,2016,1957
I2802393258,2017,3057
I2802393258,2018,4575
I2802393258,2019,5327
I2802393258,2020,5265
I2802393258,2021,10252
I2802393258,2022,9100
I2802393258,2023,6858
I2802393258,2024,3458
I2802393258,2025,1546
I2802393258,2026,50
I2800483928,2006,0
I2800483928,2007,48
I2800483928,2008,21
I2800483928,2009,14
I2800483928,2010,122
I2800483928,2011,25
I2800483928,2012,182
I2800483928,2013,34
I2800483928,2014,1
I2800483928,2015,290
I2800483928,2016,72
I2800483928,2017,162
I2800483928,2018,239
I2800483928,2019,211
I2800483928,2020,131
I2800483928,2021,147
I2800483928,2022,161
I2800483928,2023,400
I2800483928,2024,180
I2800483928,2025,120
I2800483928,2026,3
I4210165634,2006,0
I4210165634,2007,207
I4210165634,2008,95
I4210165634,2009,1
I4210165634,2010,72
I4210165634,2011,251
I4210165634,2012,144
I4210165634,2013,7
I4210165634,2014,87
I4210165634,2015,113
I4210165634,2016,384
I4210165634,2017,48
I4210165634,2018,44
I4210165634,2019,82
I4210165634,2020,114
I4210165634,2021,59
I4210165634,2022,44
I4210165634,2023,51
I4210165634,2024,11
I4210165634,2025,5
I4210165634,2026,0
I165390105,2006,4523
I165390105,2007,5335
I165390105,2008,8088
I165390105,2009,8827
I165390105,2010,12260
I165390105,2011,11620
I165390105,2012,44634
I165390105,2013,17670
I165390105,2014,19398
I165390105,2015,27027
I165390105,2016,32614
I165390105,2017,40996
I165390105,2018,31420
I165390105,2019,39394
I165390105,2020,48799
I165390105,2021,34467
I165390105,2022,31658
I165390105,2023,25354
I165390105,2024,19325
I165390105,2025,8181
I165390105,2026,332
I4210110684,2006,NA
I4210110684,2007,NA
I4210110684,2008,NA
I4210110684,2009,NA
I4210110684,2010,NA
I4210110684,2011,NA
I4210110684,2012,NA
I4210110684,2013,NA
I4210110684,2014,NA
I4210110684,2015,4
I4210110684,2016,NA
I4210110684,2017,NA
I4210110684,2018,21
I4210110684,2019,NA
I4210110684,2020,54
I4210110684,2021,NA
I4210110684,2022,10
I4210110684,2023,NA
I4210110684,2024,8
I4210110684,2025,17
I4210110684,2026,1
I148561064,2006,421
I148561064,2007,414
I148561064,2008,16
I148561064,2009,19
I148561064,2010,476
I148561064,2011,511
I148561064,2012,1062
I148561064,2013,3360
I148561064,2014,22753
I148561064,2015,10227
I148561064,2016,33111
I148561064,2017,3583
I148561064,2018,3543
I148561064,2019,8765
I148561064,2020,18038
I148561064,2021,3525
I148561064,2022,1179
I148561064,2023,1301
I148561064,2024,1031
I148561064,2025,379
I148561064,2026,10
I2799873615,2006,0
I2799873615,2007,10
I2799873615,2008,1
I2799873615,2009,14
I2799873615,2010,110
I2799873615,2011,327
I2799873615,2012,303
I2799873615,2013,396
I2799873615,2014,1001
I2799873615,2015,992
I2799873615,2016,491
I2799873615,2017,533
I2799873615,2018,576
I2799873615,2019,811
I2799873615,2020,1923
I2799873615,2021,2320
