name,year,inst_id,country_code,type,n_publication,ace_1,ace_2,deltas_1,gdp_cap,gdp_growth,internet,electricity,tertiary_enrol,education_exp,rd_exp,n_citations,founded_date,researchers_per_million,n_international_any,international_share_any,n_inter_african,inter_african_share,n_extra_african,extra_african_share
Jomo Kenyatta University of Agriculture and Technology,2008,I26805570,KEN,education,105,0,0,0,1273.77226103073,0.232282744812977,5.199999809,30.3,NA,NA,NA,2316,1994,NA,40,0.37735849056603776,7,0.0660377358490566,36,0.33962264150943394
Jomo Kenyatta University of Agriculture and Technology,2009,I26805570,KEN,education,102,0,0,0,1276.73503486074,3.30693981631089,6.1,23,3.99230003356934,NA,NA,1610,1994,NA,40,0.392156862745098,10,0.09803921568627452,32,0.3137254901960784
Jomo Kenyatta University of Agriculture and Technology,2010,I26805570,KEN,education,117,0,0,0,1340.16467408856,8.05847360290906,7.2,19.2,NA,4.81548976898193,0.69222,2464,1994,226.90023,47,0.3983050847457627,13,0.11016949152542373,38,0.3220338983050847
Jomo Kenyatta University of Agriculture and Technology,2011,I26805570,KEN,education,160,0,0,0,1370.58000874482,5.1211061197056,8.800000191,36.2,NA,4.70012998580933,NA,2349,1994,NA,46,0.2875,6,0.0375,43,0.26875
Jomo Kenyatta University of Agriculture and Technology,2012,I26805570,KEN,education,211,0,0,0,1396.30178709756,4.56867961444982,10.5,38.1,NA,4.93122005462646,NA,4497,1994,NA,62,0.29245283018867924,18,0.08490566037735849,50,0.2358490566037736
Jomo Kenyatta University of Agriculture and Technology,2013,I26805570,KEN,education,289,0,0,0,1413.94142522583,3.7978483925754,13,40.1,NA,4.83721017837524,NA,4707,1994,NA,74,0.25517241379310346,23,0.07931034482758621,65,0.22413793103448276
Jomo Kenyatta University of Agriculture and Technology,2014,I26805570,KEN,education,503,0,0,0,1450.59338202277,5.02011100232484,16.5,36,NA,4.7172999382019,NA,6367,1994,NA,106,0.20866141732283464,40,0.07874015748031496,84,0.16535433070866143
Jomo Kenyatta University of Agriculture and Technology,2015,I26805570,KEN,education,528,0,0,0,1489.11959777284,4.96772112759767,16.5878548475992,41.6,9.25319496188721,4.74349021911621,NA,6746,1994,NA,117,0.22033898305084745,30,0.05649717514124294,94,0.17702448210922786
Jomo Kenyatta University of Agriculture and Technology,2016,I26805570,KEN,education,645,0,0,0,1517.97796057742,4.21351706814744,16.6,53.1,11.6347883294504,4.89518022537231,NA,9925,1994,NA,156,0.23963133640552992,59,0.09062980030721966,125,0.19201228878648233
Jomo Kenyatta University of Agriculture and Technology,2017,I26805570,KEN,education,738,0,0,0,1542.33773973372,3.83795817364721,17.82710075,55.8,11.8049232142021,4.96308994293213,NA,8460,1994,NA,181,0.24426450742240216,68,0.09176788124156546,143,0.19298245614035087
